,,,Profile: JXJ,,,,,,,,,,,Note:,Case: Chip is larger than Lampda(It means: Peak of TC at Chip),,,,,
20,: Temperature (oC),,,NEW method - PS2G,,,,,,,,,,,,,,,,
20,: Data Point(delay),,Wave Contact Time – Product TCs,TC2,TC3,TC4,TC5,TC6,TC7,,,Input,for calculate PWI,,,,,,,
5,: Data Point(delay2),,Contact Time (Chip),17.13,#N/A,#N/A,#N/A,#N/A,-138.5,,,Spec limit:(s),Low,Target,High,Range,,,,
50,: Number line of scan,,End Index 1,910,#N/A,#N/A,#N/A,#N/A,1394,,,Contact Time (Chip),0,2.5,5,5,,,,
,,,End Wave Index,51,#N/A,#N/A,#N/A,#N/A,51,,,Contact Time (Main),0,2.5,5,5,,,,
,,,End Index 2 (Peak Index),859,733,788,768,716,1343,,,,,,,,,,,
,,,Peak,149.56,255.12,167.06,175.95,244.51,123.51,,,,Contact Time (Chip),,Contact Time (Main),,,Main,Left,Right
,,,"Start Index (Wave Start, Turning Point)",773,728,733,716,704,1897,,,TC,Value(s),PWI(%),Value(s),PWI(%),,Dwell,106.13,#N/A
,,,Max Positive Derivitive,3.5,142.73,12.61,31.77,115.61,4.05,,,TC 2,17.13,146.3,106.13,1036.3,,Parallalism,#N/A,
,,,Contact Time (Main),106.13,#N/A,#N/A,#N/A,#N/A,-448.4,,,TC 3,#N/A,#N/A,#N/A,#N/A,,Chip ,Left,Right
,,,End Index 1,955,#N/A,#N/A,#N/A,#N/A,1451,,,TC 4,#N/A,#N/A,#N/A,#N/A,,Dwell,17.13,#N/A
,,,End Wave Index,51,#N/A,#N/A,#N/A,#N/A,51,,,TC 5,#N/A,#N/A,#N/A,#N/A,,Parallalism,#N/A,
,,,End Index 2 (Peak Index),884,759,813,793,741,1380,,,TC 6,#N/A,#N/A,#N/A,#N/A,,,,
,,,Peak,149.51,254.56,165.84,166.4,227.51,123.4,,,TC 7,-138.5,-1410,-448.4,-4509,,,,
,,,Start Index,106,782,1322,261,759,1917,,,,,,,,,,,
,,,Max Positive Derivitive,0.17,50.72,0.11,0.23,61.5,4.05,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Paste the RAW data into the area below:,,,,,,,,,,11,12,CALCULATING,,15,16,,,,,
Seconds,TC1,TC2,TC3,TC4,TC5,TC6,TC7,,,TC2,TC3,TC4,TC5,TC6,TC7,,,,,
0,42.12,44.67,42.28,38.23,38.51,37.56,38.9,,,0.56,-0.11,-0.11,0.16,0.17,0,,,,,
0.25,42.17,44.84,42.34,38.23,38.67,37.67,38.73,,,0.61,-0.17,-0.11,0,0.17,0,,,,,
0.5,42.23,45.01,42.34,38.17,38.62,37.73,38.78,,,0.61,-0.22,-0.05,0.05,0.11,-0.05,,,,,
0.75,42.28,45.23,42.17,38.12,38.67,37.73,38.9,,,0.55,0.17,0,-0.05,0.17,-0.23,,,,,
1,42.34,45.45,42.17,38.12,38.67,37.84,38.73,,,0.39,-0.27,-0.06,-0.05,0.06,-0.06,,,,,
1.25,42.4,45.62,42.12,38.12,38.67,37.84,38.73,,,0.39,-0.22,0,-0.05,0.17,-0.06,,,,,
1.5,42.45,45.78,42.34,38.12,38.62,37.9,38.67,,,0.39,-0.44,0.05,0.16,0.16,-0.05,,,,,
1.75,42.51,45.84,41.9,38.06,38.62,37.9,38.67,,,0.28,0.38,0.06,0.11,0.11,0.06,,,,,
2,42.56,46.01,41.9,38.12,38.62,38.01,38.67,,,0.16,0.11,0.05,0.16,0.05,0.06,,,,,
2.25,42.73,46.17,41.9,38.17,38.78,38.06,38.62,,,0,0.11,0,0,0.06,0.11,,,,,
2.5,42.95,46.12,42.28,38.12,38.73,38.01,38.73,,,0.05,-0.22,0,0.05,0.16,0.05,,,,,
2.75,43.23,46.17,42.01,38.17,38.78,38.06,38.73,,,0.06,-0.45,-0.11,0.06,0.06,-0.11,,,,,
3,43.73,46.17,42.01,38.17,38.78,38.12,38.73,,,-0.05,-0.61,0,0.12,0.11,-0.06,,,,,
3.25,44.4,46.17,42.06,38.12,38.78,38.17,38.78,,,-0.22,-0.44,0,0.17,0.17,-0.16,,,,,
3.5,45.17,46.23,41.56,38.06,38.84,38.12,38.62,,,-0.28,0.22,0,0.22,0.22,0.22,,,,,
3.75,45.67,46.12,41.4,38.17,38.9,38.23,38.67,,,-0.28,0.44,-0.05,0.16,0.17,0.06,,,,,
4,46.17,45.95,41.62,38.12,38.95,38.34,38.62,,,-0.22,0.16,0,0.11,0.11,0.05,,,,,
4.25,46.4,45.95,41.78,38.06,39.06,38.34,38.84,,,-0.28,-0.05,0.06,0.22,0.11,-0.22,,,,,
4.5,46.56,45.84,41.84,38.12,39.06,38.4,38.73,,,-0.22,-0.06,0,0.28,0.22,0.28,,,,,
4.75,46.62,45.73,41.78,38.12,39.06,38.45,38.67,,,-0.22,-0.22,0,0.39,0.22,0.34,,,,,
5,46.56,45.67,41.73,38.12,39.28,38.45,38.62,,,-0.33,-0.17,0.05,0.17,0.28,0.5,,,,,
5.25,46.62,45.62,41.78,38.12,39.34,38.62,39.01,,,-0.39,-0.16,0.05,0.17,0.22,0.11,,,,,
5.5,46.78,45.51,41.56,38.12,39.45,38.67,39.01,,,-0.34,0.11,0.05,0.06,0.17,0.22,,,,,
5.75,47.06,45.34,41.56,38.17,39.45,38.73,39.12,,,-0.39,0.17,0,0.17,0.05,0.16,,,,,
6,47.51,45.23,41.62,38.17,39.51,38.84,39.12,,,-0.33,0.05,0.06,0.11,-0.06,0.55,,,,,
6.25,47.73,45.17,41.67,38.17,39.51,38.84,39.23,,,-0.39,0,0.11,0.22,0.22,0.39,,,,,
6.5,47.95,44.95,41.73,38.17,39.62,38.78,39.28,,,-0.22,-0.11,0.11,0.11,0.34,0.39,,,,,
6.75,48.12,44.9,41.67,38.23,39.62,38.78,39.67,,,-0.34,-0.05,0.05,0.22,0.28,0.23,,,,,
7,48.4,44.78,41.67,38.28,39.73,39.06,39.62,,,-0.27,0.06,0.06,0.17,0.17,0.11,,,,,
7.25,48.56,44.73,41.62,38.28,39.73,39.12,39.67,,,-0.39,0.05,0.06,0.17,0.05,0.23,,,,,
7.5,48.62,44.56,41.62,38.28,39.84,39.06,39.9,,,-0.22,-0.22,0.06,0.28,0.34,0.05,,,,,
7.75,49.06,44.51,41.73,38.34,39.9,39.23,39.73,,,-0.34,-0.22,-0.06,0.22,0.22,0.33,,,,,
8,49.62,44.34,41.67,38.34,39.9,39.17,39.9,,,-0.11,-0.22,0.11,0.16,0.39,0.22,,,,,
8.25,50.28,44.34,41.4,38.34,40.12,39.4,39.95,,,-0.28,0.11,0.11,0.11,0.27,0.22,,,,,
8.5,50.84,44.17,41.51,38.28,40.12,39.45,40.06,,,-0.11,-0.17,0.23,0.05,0.5,0.22,,,,,
8.75,51.28,44.23,41.45,38.45,40.06,39.56,40.12,,,-0.17,0.06,-0.05,0,0.72,0.33,,,,,
9,51.62,44.06,41.51,38.45,40.23,39.67,40.17,,,0,0.27,0.06,0.11,1.39,0.45,,,,,
9.25,51.78,44.06,41.34,38.51,40.17,39.95,40.28,,,0,0.61,0.05,0.28,1.56,0.45,,,,,
9.5,51.84,44.06,41.51,38.4,40.06,40.28,40.45,,,0.06,0.89,0.16,0.34,1.45,0.33,,,,,
9.75,52.01,44.06,41.78,38.51,40.34,41.06,40.62,,,0.17,0.78,0.05,0,1.34,0.33,,,,,
10,51.95,44.06,41.95,38.56,40.45,41.51,40.73,,,0.22,0.45,0.11,0,1.72,0,,,,,
10.25,51.9,44.12,42.4,38.56,40.4,41.73,40.78,,,0.33,0.16,0.06,0,2.22,0,,,,,
10.5,51.95,44.23,42.56,38.56,40.34,42.4,40.95,,,0.33,0,0.17,0.17,3.22,-0.11,,,,,
10.75,51.95,44.28,42.4,38.67,40.45,43.23,40.73,,,0.39,0.05,0.11,0.06,4.67,0.39,,,,,
11,52.01,44.45,42.56,38.62,40.4,43.95,40.78,,,0.33,-0.28,0.16,0.22,6.89,0.5,,,,,
11.25,52.06,44.56,42.56,38.73,40.51,45.62,40.84,,,0.39,0.28,0,0.16,7.61,0.5,,,,,
11.5,52.12,44.67,42.45,38.78,40.51,47.9,41.12,,,0.39,0.95,0.06,0.27,4.5,0.39,,,,,
11.75,52.28,44.78,42.28,38.78,40.62,50.84,41.28,,,0.45,1.28,0.12,0.16,-1.44,0.45,,,,,
12,52.28,44.95,42.84,38.73,40.67,53.23,41.34,,,0.28,0.78,0.28,0.34,-5.78,0.56,,,,,
12.25,52.62,45.06,43.4,38.84,40.78,52.4,41.51,,,0.17,0.44,0.22,0.45,-5.78,0.44,,,,,
12.5,53.06,45.23,43.56,38.9,40.78,49.4,41.73,,,0.22,-0.11,0.11,0.84,-2.39,0.39,,,,,
12.75,53.34,45.23,43.62,39.01,41.01,47.45,41.9,,,0.39,-0.06,0.05,1,-0.44,0.11,,,,,
13,53.78,45.23,43.84,39.06,41.23,46.62,41.95,,,0.61,-0.56,0.11,1.22,0.72,0,,,,,
13.25,54.06,45.45,43.45,39.01,41.62,47.01,42.12,,,0.56,0.67,0.11,1.22,1.22,0.11,,,,,
13.5,54.4,45.62,43.56,39.06,42.01,47.01,42.01,,,0.55,1,0.22,1.11,1.66,0.16,,,,,
13.75,54.51,45.84,43.28,39.17,42.45,47.34,41.95,,,0.56,2.28,0.11,0.89,0.17,0.5,,,,,
14,54.51,46.01,44.12,39.12,42.84,48.23,42.23,,,0.55,2.44,0.28,0.56,-1.56,0.05,,,,,
14.25,54.62,46.17,44.56,39.28,43.12,48.67,42.17,,,0.56,2.28,0.23,0.5,-2.33,0.28,,,,,
14.5,54.62,46.4,45.56,39.28,43.34,47.51,42.45,,,0.38,1.78,0.23,0.44,-0.5,-0.05,,,,,
14.75,54.67,46.56,46.56,39.4,43.4,46.67,42.28,,,0.39,2.89,0.22,0.66,1.34,0.23,,,,,
15,55.06,46.73,46.84,39.51,43.62,46.34,42.45,,,0.28,5.94,0.05,0.66,2.67,0,,,,,
15.25,55.56,46.78,47.34,39.51,43.78,47.01,42.4,,,0.45,9.56,0.22,0.67,3.66,0.27,,,,,
15.5,56.01,46.95,49.45,39.62,44.06,48.01,42.51,,,0.5,11,0.22,0.67,4.39,0.05,,,,,
15.75,56.51,47.01,52.78,39.56,44.28,49.01,42.45,,,0.55,10.78,0.45,0.5,5.27,0.39,,,,,
16,56.84,47.23,56.9,39.73,44.45,50.67,42.67,,,0.5,9.61,0.33,0.45,3.89,0.17,,,,,
16.25,57.01,47.45,60.45,39.84,44.73,52.4,42.56,,,0.39,8.67,0.44,0.22,0.05,0.39,,,,,
16.5,57.12,47.56,63.56,40.01,44.78,54.28,42.84,,,0.39,7.39,0.44,0.28,-3.94,0.11,,,,,
16.75,57.17,47.73,66.51,40.06,44.9,54.56,42.84,,,0.28,3.94,0.67,0.27,-5.5,0.22,,,,,
17,57.23,47.84,69.12,40.28,44.95,52.45,42.95,,,0.28,-1.95,0.67,0.39,-4.28,0.28,,,,,
17.25,57.12,47.95,70.95,40.45,45.06,50.34,42.95,,,0.17,-7.22,0.78,0.72,-2.56,0.72,,,,,
17.5,57.12,48.01,70.45,40.73,45.17,49.06,43.06,,,0.33,-7.44,0.78,0.95,-1.39,0.61,,,,,
17.75,57.34,48.12,67.17,40.95,45.34,48.17,43.23,,,0.16,-4.22,0.78,1.06,-0.44,0.39,,,,,
18,57.45,48.12,63.73,41.23,45.78,47.78,43.67,,,0.22,-1.28,0.72,1,0.17,0.39,,,,,
18.25,57.9,48.34,63.01,41.51,46.12,47.67,43.67,,,0.11,-1.34,0.72,0.89,0.5,0.39,,,,,
18.5,58.17,48.28,62.95,41.73,46.4,47.73,43.62,,,0.23,-2.39,0.72,0.83,0.61,0.61,,,,,
18.75,58.45,48.34,62.45,41.95,46.78,47.95,44.06,,,0.28,-2.67,0.72,0.5,0.39,0.39,,,,,
19,58.56,48.45,61.67,42.23,47.01,48.17,44.06,,,0.17,-2.61,0.83,0.39,0.45,1.11,,,,,
19.25,58.73,48.51,60.56,42.45,47.23,48.34,44.23,,,0.22,-2.61,0.78,0.28,0.67,1.39,,,,,
19.5,58.73,48.62,59.78,42.67,47.28,48.34,44.45,,,0.11,-1.94,0.78,0.28,1.28,1.45,,,,,
19.75,58.9,48.62,59.06,43.06,47.4,48.62,45.17,,,0.28,0.28,0.56,0.16,1.61,0.89,,,,,
20,58.9,48.73,57.95,43.23,47.51,49.01,45.62,,,0.28,5.61,0.67,0.11,2.05,0.33,,,,,
20.25,59.12,48.73,57.84,43.45,47.56,49.62,45.9,,,0.39,9.44,0.67,0.17,2.22,0.33,,,,,
20.5,59.67,48.9,59.34,43.62,47.56,50.23,46.06,,,0.27,11.11,0.72,0.22,2.78,0.06,,,,,
20.75,60.28,49.01,63.56,43.9,47.62,51.06,45.95,,,0.27,9.11,0.66,0.22,2.28,0.22,,,,,
21,60.95,49.12,67.28,44.12,47.73,51.84,46.23,,,0.22,7.84,0.61,0.28,0.94,0.05,,,,,
21.25,61.34,49.17,70.45,44.34,47.78,53.01,46.12,,,0.17,6.83,0.61,0.45,-1.28,0.16,,,,,
21.5,61.45,49.28,72.67,44.56,47.84,53.34,46.17,,,0.06,2.84,0.61,0.67,-1.83,0.28,,,,,
21.75,61.51,49.34,75.12,44.73,48.01,52.78,46.28,,,0.11,-2.22,0.78,0.77,-0.22,0.28,,,,,
22,61.51,49.34,77.28,44.95,48.23,51.73,46.28,,,0.17,-6.77,0.83,0.89,1.89,0.17,,,,,
22.25,61.45,49.34,75.51,45.17,48.51,51.51,46.45,,,0.17,-7.06,0.78,0.83,3.55,0.39,,,,,
22.5,61.51,49.45,72.9,45.51,48.78,52.56,46.56,,,0.17,-6.06,0.72,0.78,3.89,0.28,,,,,
22.75,61.51,49.51,70.51,45.78,49.12,53.62,46.45,,,0.11,-5.17,0.78,0.66,5.22,0.56,,,,,
23,61.45,49.51,68.45,45.95,49.34,55.06,46.84,,,0.22,-4.83,0.83,0.67,5.61,0.11,,,,,
23.25,61.51,49.62,66.84,46.23,49.56,56.45,46.84,,,0.16,-4.5,0.78,0.56,3.61,0.39,,,,,
23.5,61.4,49.62,65.34,46.56,49.78,58.84,47.01,,,0.16,-3.56,0.61,0.5,-1.28,0.61,,,,,
23.75,61.51,49.73,63.62,46.78,50.01,60.67,46.95,,,0.11,-2.5,0.62,0.22,-4.66,0.5,,,,,
24,61.51,49.78,62.34,47.01,50.12,60.06,47.23,,,0.12,-1,0.61,0.22,-5.11,0.55,,,,,
24.25,61.67,49.78,61.78,47.17,50.28,57.56,47.62,,,0.17,2,0.5,0.28,-3,0.28,,,,,
24.5,61.9,49.84,61.12,47.4,50.23,56.01,47.45,,,0.06,5.39,0.5,0.67,-1.61,0.89,,,,,
24.75,62.45,49.9,61.34,47.62,50.34,54.95,47.78,,,0.16,6.28,0.33,0.89,-0.44,0.45,,,,,
25,63.17,49.95,63.78,47.67,50.56,54.56,47.9,,,0.22,4.62,0.5,0.95,0.67,0.05,,,,,
25.25,63.78,49.9,66.51,47.9,50.9,54.4,48.34,,,0.38,1.61,0.38,0.83,1.22,-0.56,,,,,
25.5,64.28,50.06,67.62,47.95,51.23,54.51,48.23,,,0.34,-0.17,0.67,0.78,1.5,-0.5,,,,,
25.75,64.62,50.17,68.4,48.17,51.51,55.23,47.95,,,0.39,-0.89,0.61,0.55,2.05,-0.17,,,,,
26,64.62,50.28,68.12,48.28,51.73,55.62,47.78,,,0.28,-1.34,0.67,0.44,2.16,-0.22,,,,,
26.25,64.67,50.4,67.45,48.62,52.01,56.01,47.73,,,0.33,-1.11,0.55,0.27,0.89,0.17,,,,,
26.5,64.84,50.56,67.51,48.78,52.06,57.28,47.78,,,0.39,-1.39,0.56,0.5,-0.83,0.45,,,,,
26.75,64.84,50.56,66.78,48.95,52.17,57.78,47.56,,,0.61,-0.83,0.67,0.56,-2,0.61,,,,,
27,64.9,50.73,66.34,49.17,52.28,56.9,47.9,,,0.72,1.44,0.61,0.62,-0.23,0.33,,,,,
27.25,64.9,50.95,66.12,49.34,52.56,56.45,48.23,,,0.83,6.89,0.72,0.61,1.11,0.39,,,,,
27.5,64.95,51.17,65.95,49.62,52.73,55.78,48.17,,,0.95,10.5,0.66,0.55,3,0.61,,,,,
27.75,65.12,51.45,67.78,49.78,52.9,56.67,48.23,,,1,11.12,0.56,0.61,3.78,0.72,,,,,
28,65.45,51.78,73.01,50.06,53.17,57.56,48.62,,,0.95,8.44,0.5,0.5,4.78,0.39,,,,,
28.25,65.73,52.12,76.45,50.28,53.28,58.78,48.78,,,0.89,7.72,0.45,0.5,5.95,0.23,,,,,
28.5,66.06,52.45,78.9,50.34,53.51,60.45,48.95,,,0.83,4.94,0.67,0.5,4.56,0.22,,,,,
28.75,66.17,52.73,81.45,50.56,53.67,62.34,49.01,,,0.89,-0.22,0.61,0.5,1.11,-0.17,,,,,
