Seconds,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9
0,42.12,44.67,42.28,38.23,38.51,37.56,38.9,40.17,40.51
0.25,42.17,44.84,42.34,38.23,38.67,37.67,38.73,40.12,40.73
0.5,42.23,45.01,42.34,38.17,38.62,37.73,38.78,40.06,41.01
0.75,42.28,45.23,42.17,38.12,38.67,37.73,38.9,40.34,41.28
1,42.34,45.45,42.17,38.12,38.67,37.84,38.73,39.9,41.62
1.25,42.4,45.62,42.12,38.12,38.67,37.84,38.73,39.73,41.9
1.5,42.45,45.78,42.34,38.12,38.62,37.9,38.67,39.51,42.17
1.75,42.51,45.84,41.9,38.06,38.62,37.9,38.67,39.51,42.4
2,42.56,46.01,41.9,38.12,38.62,38.01,38.67,39.73,42.73
2.25,42.73,46.17,41.9,38.17,38.78,38.06,38.62,39.62,42.9
2.5,42.95,46.12,42.28,38.12,38.73,38.01,38.73,39.67,43.17
2.75,43.23,46.17,42.01,38.17,38.78,38.06,38.73,39.62,43.23
3,43.73,46.17,42.01,38.17,38.78,38.12,38.73,39.67,43.51
3.25,44.4,46.17,42.06,38.12,38.78,38.17,38.78,39.67,43.67
3.5,45.17,46.23,41.56,38.06,38.84,38.12,38.62,39.84,43.84
3.75,45.67,46.12,41.4,38.17,38.9,38.23,38.67,40.01,43.84
4,46.17,45.95,41.62,38.12,38.95,38.34,38.62,40.34,44.06
4.25,46.4,45.95,41.78,38.06,39.06,38.34,38.84,40.51,44.12
4.5,46.56,45.84,41.84,38.12,39.06,38.4,38.73,40.45,44.23
4.75,46.62,45.73,41.78,38.12,39.06,38.45,38.67,40.62,44.28
5,46.56,45.67,41.73,38.12,39.28,38.45,38.62,40.73,44.34
5.25,46.62,45.62,41.78,38.12,39.34,38.62,39.01,40.95,44.45
5.5,46.78,45.51,41.56,38.12,39.45,38.67,39.01,41.34,44.51
5.75,47.06,45.34,41.56,38.17,39.45,38.73,39.12,41.45,44.67
6,47.51,45.23,41.62,38.17,39.51,38.84,39.12,41.51,44.73
6.25,47.73,45.17,41.67,38.17,39.51,38.84,39.23,41.51,44.78
6.5,47.95,44.95,41.73,38.17,39.62,38.78,39.28,41.56,44.78
6.75,48.12,44.9,41.67,38.23,39.62,38.78,39.67,41.67,44.9
7,48.4,44.78,41.67,38.28,39.73,39.06,39.62,41.67,44.95
7.25,48.56,44.73,41.62,38.28,39.73,39.12,39.67,41.62,44.95
7.5,48.62,44.56,41.62,38.28,39.84,39.06,39.9,41.95,44.95
7.75,49.06,44.51,41.73,38.34,39.9,39.23,39.73,42.12,44.95
8,49.62,44.34,41.67,38.34,39.9,39.17,39.9,43.4,44.95
8.25,50.28,44.34,41.4,38.34,40.12,39.4,39.95,44.34,44.95
8.5,50.84,44.17,41.51,38.28,40.12,39.45,40.06,44.73,44.9
8.75,51.28,44.23,41.45,38.45,40.06,39.56,40.12,45.28,44.95
9,51.62,44.06,41.51,38.45,40.23,39.67,40.17,45.73,44.9
9.25,51.78,44.06,41.34,38.51,40.17,39.95,40.28,45.84,44.78
9.5,51.84,44.06,41.51,38.4,40.06,40.28,40.45,45.84,44.84
9.75,52.01,44.06,41.78,38.51,40.34,41.06,40.62,45.56,44.84
10,51.95,44.06,41.95,38.56,40.45,41.51,40.73,45.17,44.9
10.25,51.9,44.12,42.4,38.56,40.4,41.73,40.78,45.45,44.95
10.5,51.95,44.23,42.56,38.56,40.34,42.4,40.95,45.34,44.9
10.75,51.95,44.28,42.4,38.67,40.45,43.23,40.73,45.51,44.9
